adm3_en,adm3_pcode,date,year,week,doh_pois_count,ndvi,pct_area_cropland,pct_area_flood_hazard_5yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_herbaceous_wetland,pct_area_mangroves,pct_area_permanent_water_bodies,pnp,pop_count_mean,pop_count_stdev,pop_count_total,pop_density_mean,pop_density_stdev,pr,rh,rwi_mean,rwi_std,spi3,spi6,tave,tmax,tmin,case_total_dengue,death_total_dengue
Palayan City,PH034919000,2016-04-25,2016,17,2.0,0.4284170706352913,,12.791515789473689,5.291147368421053,8.956963157894736,,,,101.72146463011116,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,7.858765631732774,74.77629984693836,0.4007909197398235,0.049759773425897,0.1376830244799599,0.7448013436512174,28.98339062415479,33.80029532855577,24.858553897717204,0.0,
Palayan City,PH034919000,2016-05-02,2016,18,2.0,0.4277801129998353,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,1.730534588200158,70.61521553198637,0.4007909197398235,0.049759773425897,,,29.37614103853577,34.175018420620994,24.993532641814944,1.0,
Palayan City,PH034919000,2016-05-09,2016,19,2.0,0.4208837598898801,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.94383149729947,182.65131869815292,1.8905008684885536,71.7826108401782,0.4007909197398235,0.049759773425897,,,29.313273302284195,34.080501620572754,25.486890593298654,0.0,
Palayan City,PH034919000,2016-05-16,2016,20,2.0,0.4342689485764874,,12.791515789473689,5.291147368421052,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,14.510536929347946,81.54606246587186,0.4007909197398235,0.049759773425897,,,28.375433759394657,33.2173742683369,25.184360403539436,0.0,
Palayan City,PH034919000,2016-05-23,2016,21,2.0,0.4654274891238938,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,9.797632544501129,85.26261171851675,0.4007909197398235,0.049759773425897,,,28.067324145353165,32.975458553140186,24.952715165467776,0.0,
Palayan City,PH034919000,2016-05-30,2016,22,2.0,0.5607087582763276,,12.791515789473689,5.291147368421053,8.956963157894736,,,,98.63388559460527,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.65131869815292,4.867042310777083,84.50563234227647,0.4007909197398235,0.049759773425897,0.0308502121454306,-0.1109618503927109,27.877470126965097,32.8989058230582,24.68378130740968,0.0,
Palayan City,PH034919000,2016-06-06,2016,23,2.0,0.5814129877214363,,12.791515789473689,5.291147368421053,8.956963157894739,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.94383149729936,182.6513186981529,7.043856987107143,86.34391260215583,0.4007909197398235,0.049759773425897,,,27.290746402757318,32.11022032257773,24.182515949137343,0.0,
Palayan City,PH034919000,2016-06-13,2016,24,2.0,0.5982052702273373,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,4.599752173561442,82.8425548365708,0.4007909197398235,0.049759773425897,,,28.0212758711252,32.47220003567774,24.52903329207936,0.0,
Palayan City,PH034919000,2016-06-20,2016,25,2.0,0.6347503325333231,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136198,59.632107241605226,47248.50994873047,353.9438314972994,182.6513186981529,6.512223422122443,86.01674126376919,0.4007909197398235,0.049759773425897,,,27.81937823098258,31.63210407909357,24.936162216617447,1.0,
Palayan City,PH034919000,2016-06-27,2016,26,2.0,0.6513480799159668,,12.791515789473689,5.291147368421053,8.956963157894736,,,,75.75259320266079,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,8.522048214801343,84.42231334461859,0.4007909197398235,0.049759773425897,-0.3647536118816679,-0.3758830529742644,27.35457707018251,31.40053703927632,24.38927519000466,0.0,
Palayan City,PH034919000,2016-07-04,2016,27,2.0,0.6534132443660893,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,8.257413303792715,90.91496833790806,0.4007909197398235,0.049759773425897,,,25.974385326804533,29.152082664829152,23.94247691476992,1.0,
Palayan City,PH034919000,2016-07-11,2016,28,2.0,0.6892456736927585,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,1.0127336029589669,84.75678065513173,0.4007909197398235,0.049759773425897,,,27.519136770593967,32.09835828834343,24.11908696433456,1.0,
Palayan City,PH034919000,2016-07-18,2016,29,2.0,0.7094679412407822,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,10.408032066650112,83.33861740910584,0.4007909197398235,0.049759773425897,,,27.24224961446161,31.93134704267104,23.99162040405533,1.0,
Palayan City,PH034919000,2016-07-25,2016,30,2.0,0.7237742926735136,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,15.826642835429285,85.64118694124959,0.4007909197398235,0.049759773425897,,,27.622274537726707,31.99629360931957,24.278589454647527,4.0,
Palayan City,PH034919000,2016-08-01,2016,31,2.0,0.7299145508266884,,12.791515789473689,5.291147368421053,8.956963157894736,,,,92.69314624358974,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,8.226278922453805,88.05237058355965,0.4007909197398235,0.049759773425897,-0.6014566989424348,-0.3683400086701921,26.85342248487968,31.251723753050378,23.99792125885181,2.0,
Palayan City,PH034919000,2016-08-08,2016,32,2.0,0.7325543925037122,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,14.796890470309489,94.44219282176444,0.4007909197398235,0.049759773425897,,,25.349975344481237,27.802487597413137,23.771332704093176,10.0,
Palayan City,PH034919000,2016-08-15,2016,33,2.0,0.7325543925037123,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,20.747765587217224,91.3402560580056,0.4007909197398235,0.049759773425897,,,26.466641967974702,30.1961619978491,24.5704585242976,5.0,
Palayan City,PH034919000,2016-08-22,2016,34,2.0,0.7325543925037122,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,9.11549251991853,90.17280048838671,0.4007909197398235,0.049759773425897,,,26.724424361171945,30.056737884288086,24.671101796828207,4.0,
Palayan City,PH034919000,2016-08-29,2016,35,2.0,0.7348554109955144,,12.791515789473689,5.291147368421053,8.956963157894736,,,,79.20016343083617,81.99828477136198,59.632107241605226,47248.50994873047,353.9438314972994,182.6513186981529,5.341692499652528,85.93647839782336,0.4007909197398235,0.049759773425897,-0.9790304241461044,-0.6773577018048171,26.447423838413563,29.915387381594357,23.975792622195456,1.0,
Palayan City,PH034919000,2016-09-05,2016,36,2.0,0.7395970428615073,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,5.528784648252612,86.28107664608758,0.4007909197398235,0.049759773425897,,,27.349680171566625,31.69054028923787,24.081122894368303,4.0,
Palayan City,PH034919000,2016-09-12,2016,37,2.0,0.7426662364585388,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.632107241605226,47248.50994873047,353.94383149729936,182.6513186981529,13.713680436700791,89.03535924863851,0.4007909197398235,0.049759773425897,,,26.529939827821696,30.320572198940745,24.137939106430363,1.0,
Palayan City,PH034919000,2016-09-19,2016,38,2.0,0.7418472428821651,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,15.92652591082458,88.23630054677938,0.4007909197398235,0.049759773425897,,,26.63239871651552,30.422740137710864,24.08941400668125,3.0,
Palayan City,PH034919000,2016-09-26,2016,39,2.0,0.740869007720128,,12.791515789473689,5.291147368421053,8.956963157894736,,,,144.55845315543945,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.65131869815292,5.423038943703721,90.32438550530208,0.4007909197398235,0.049759773425897,0.1040079677389616,-0.2126547930239238,26.031243823195563,29.92016365940012,23.80669867142312,3.0,
Palayan City,PH034919000,2016-10-03,2016,40,2.0,0.741020682750965,,12.791515789473689,5.291147368421052,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,18.506342877909525,90.8858031753191,0.4007909197398235,0.049759773425897,,,26.020966627379064,29.542658154002247,23.80274685640231,1.0,
Palayan City,PH034919000,2016-10-10,2016,41,2.0,0.742414234918671,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,14.57637548092302,88.5884825476738,0.4007909197398235,0.049759773425897,,,25.999633972263872,29.487750621721123,23.861940370715477,2.0,
Palayan City,PH034919000,2016-10-17,2016,42,2.0,0.7457066114078874,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.65131869815292,15.1336765859426,89.23799553342523,0.4007909197398235,0.049759773425897,,,26.836108941628144,30.311361194044142,24.48948117400453,3.0,
Palayan City,PH034919000,2016-10-24,2016,43,2.0,0.7261521946328616,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.0,80.24721698478231,0.4007909197398235,0.049759773425897,,,27.33049057222724,31.29961288343097,24.09907245596634,1.0,
Palayan City,PH034919000,2016-10-31,2016,44,2.0,0.7155380476786556,,12.791515789473689,5.291147368421053,8.956963157894736,,,,88.13264267913507,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,5.576732103797198,81.1234074236044,0.4007909197398235,0.049759773425897,0.1479229023353901,-0.3074716485478952,26.58010664793459,30.28331959083572,23.617419744942232,1.0,
Palayan City,PH034919000,2016-11-07,2016,45,2.0,0.6954043878399194,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.0,75.73914996308693,0.4007909197398235,0.049759773425897,,,25.850302346557136,30.28738841971,22.255888400282068,2.0,
Palayan City,PH034919000,2016-11-14,2016,46,2.0,0.6936138647321596,,12.791515789473689,5.291147368421053,8.956963157894739,,,,,81.99828477136195,59.632107241605226,47248.50994873047,353.94383149729936,182.6513186981529,15.175023727658012,83.04055004456453,0.4007909197398235,0.049759773425897,,,26.27076785729251,29.55895910675471,23.610149369800236,0.0,
Palayan City,PH034919000,2016-11-21,2016,47,2.0,0.6800713446013905,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136198,59.632107241605226,47248.50994873047,353.9438314972994,182.6513186981529,4.390237619426019,83.24968303841148,0.4007909197398235,0.049759773425897,,,25.763102388699973,29.216961724573704,23.03922538374525,2.0,
Palayan City,PH034919000,2016-11-28,2016,48,2.0,0.6816516835747749,,12.791515789473689,5.291147368421053,8.956963157894739,,,,120.31751075583809,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,1.4598363101246972,81.35816543915134,0.4007909197398235,0.049759773425897,0.5902129377856574,-0.1878464248409385,26.232125524921575,30.02245952214246,23.252157077629345,3.0,
Palayan City,PH034919000,2016-12-05,2016,49,2.0,0.673542585434752,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,1.0424523757099222,83.5328496035123,0.4007909197398235,0.049759773425897,,,26.219275238982647,29.86228180061801,23.48180893774256,0.0,
Palayan City,PH034919000,2016-12-12,2016,50,2.0,0.6682267476189353,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.632107241605226,47248.50994873047,353.9438314972994,182.6513186981529,6.527639786712838,83.85220983998238,0.4007909197398235,0.049759773425897,,,25.18553323368671,27.99331233665161,23.11409028340949,0.0,
Palayan City,PH034919000,2016-12-19,2016,51,2.0,0.650386091160442,,12.791515789473689,5.291147368421053,8.956963157894737,,,,262.24277048447175,82.52010131587156,60.163723267188544,47515.8508605957,355.8740803771652,183.3814292850612,2.0896561103141003,78.04226287634006,0.4037924538563711,0.0491124873503753,0.5569800989377109,0.3633058497893021,25.88276136191348,29.7695681198635,22.85408885556511,4.0,
Palayan City,PH034919000,2016-12-26,2016,52,2.0,0.6354146873664328,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136197,59.63210724160523,47248.50994873047,353.9438314972994,182.65131869815292,14.743050851159415,82.24295102458865,0.4007909197398234,0.049759773425897,,,26.02473887331691,29.07381085292697,23.664403062096508,1.0,
Palayan City,PH034919000,2017-01-02,2017,1,2.0,0.6293987016044428,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,0.7253967657767076,76.37670509624664,0.4248031926722048,0.0445814848217237,,,24.93544417429154,29.027221251309207,21.56410790351249,3.0,
Palayan City,PH034919000,2017-01-09,2017,2,2.0,0.6235066747745189,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743873,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,8.795968850435486,82.53760437780487,0.424803192672205,0.0445814848217237,,,24.841670388812293,28.315131778539826,22.230774794752303,2.0,
